,,headline,pub_date,snippet,web_url
0,261,"In a Season of Monsters, Gulf Coast Feels Lucky All It Got Was Nate",2017-10-08T23:30:44+0000,"Hurricane Nate sped ashore in Mississippi as a Category 1 storm and quickly weakened, leaving Gulf Coast residents relieved that it wasn’t worse.",https://www.nytimes.com/2017/10/08/us/hurricane-nate-biloxi-storm.html
0,262,"1 in 7 New York City Elementary Students Will Be Homeless, Report Says",2017-08-15T18:13:55+0000,A new report details the daunting challenges faced by children and schools as homelessness increases in New York City.,https://www.nytimes.com/2017/08/15/nyregion/report-says-elementary-students-homeless-new-york.html
0,263,Trump Plans to Declare Opioid Epidemic a National Emergency,2017-08-10T19:39:36+0000,The declaration would help direct more financial resources and attention to the drug problem in communities across the country.,https://www.nytimes.com/2017/08/10/us/politics/opioid-trump-emergency.html
0,264,‘The Dark Tower’: What Worked and What Didn’t,2017-08-08T16:45:02+0000,"The big-screen adaptation of the Stephen King series was hotly anticipated, but the movie fans got was not exactly what they hoped for. Here’s why.",https://www.nytimes.com/2017/08/08/movies/the-dark-tower-best-worst.html
0,265,Hemingway’s First Short Story Found in Key West,2017-09-29T23:03:26+0000,"The untitled, previously unknown work was written by the famous author when he was 10 years old.",https://www.nytimes.com/2017/09/29/books/hemingway-first-story-found-in-florida.html
0,266,"On Top of Mount Etna, a Lesson in Lava (and Luck)",2018-01-18T10:00:26+0000,"A visit to the volcano during an eruption was unforgettable: Heat, flying slag and a fortunate escape.",https://www.nytimes.com/2018/01/18/travel/mount-etna-eruption-lava.html
0,267,A Football Player’s Descent Into Pain and Paranoia,2018-09-27T16:03:37+0000,"Daniel Te’o-Nesheim, who played four seasons in the N.F.L., was found dead at age 30 and later diagnosed with C.T.E. He left behind a paper trail of his struggles dealing with the injuries caused by playing the game he loved.",https://www.nytimes.com/interactive/2018/09/27/sports/football/nfl-cte-daniel-teo-nesheim.html
0,268,"Mexico City, Hurricane Maria, Iran: Your Wednesday Evening Briefing",2017-09-20T22:06:18+0000,Here’s what you need to know at the end of the day.,https://www.nytimes.com/2017/09/20/briefing/mexico-city-hurricane-maria-iran.html
0,269,"For Two Months, I Got My News From Print Newspapers. Here’s What I Learned.",2018-03-07T10:01:00+0000,Our tech columnist tried to skip digital news for a while. His old-school experiment led to three main conclusions.,https://www.nytimes.com/2018/03/07/technology/two-months-news-newspapers.html
1,270,"Tornadoes rip through Midwest, one person killed",2015-04-10T08:53:15Z,"A deadly storm system rolled through the Midwest Thursday evening, killing at least one person and leaving behind a path of destruction. Linda So reports.",https://www.nytimes.com/video/multimedia/100000003621475/tornadoes-rip-through-midwest-one-person-killed.html
0,271,Email Tip About a Noose Pushes a Reporter to Action,2017-07-05T21:10:14+0000,Our national reporter Sheryl Gay Stolberg describes her reporting on the rising number of race-baiting incidents involving nooses.,https://www.nytimes.com/2017/07/05/insider/lets-do-something-on-all-these-nooses.html
0,272,"As Irma’s Winds Rise, So Does a Debate Over TV Storm Reporting",2017-09-10T19:58:00+0000,Television correspondents are standing out in the storm as Hurricane Irma lashes Florida. Is that necessary? Reporters say better them than you.,https://www.nytimes.com/2017/09/10/business/media/hurricane-irma-broadcasts-safety.html
1,273,"Tornadoes rip through Midwest, one person killed",2015-04-10T08:43:16Z,"A deadly storm system rolled through the Midwest Thurdsay evening, killing at least one person and leaving behind a path of destruction. Linda So reports.",https://www.nytimes.com/video/multimedia/100000003621467/tornadoes-rip-through-midwest-one-person-killed.html
0,274,Takashi Murakami Teams With a Professor to Explore the Historical,2017-10-26T09:30:26+0000,"With the help of the art historian Nobuo Tsuji, the artist has found a mentor who has brought him into deeper engagement with historical Japanese art.",https://www.nytimes.com/2017/10/26/arts/takashi-murakami-nobuo-tsuii.html
0,275,"In Toronto, Looking to the Future in an Abandoned Park",2016-09-24T04:00:00+0000,"An art and music festival that has reopened Ontario Place in Toronto, runs through Sunday.",https://www.nytimes.com/2016/09/24/arts/design/in-future-festival-toronto-ontario-place.html
0,276,One Way to Win Over a Company of Army Infantry Grunts: Commiseration,2017-05-27T18:03:40+0000,A relentless downpour offered a reporter and a company of infantry grunts a chance to empathize.,https://www.nytimes.com/2017/05/27/insider/first-women-in-army-infantry-training-commiseration.html
0,277,"Back in the Bronx: Gordon Matta-Clark, Rogue Sculptor",2018-01-11T21:11:13+0000,"The Bronx Museum’s beautifully staged, streamlined version of the artist’s career still conveys a full picture of his radical sensibility.",https://www.nytimes.com/2018/01/11/arts/gordon-matta-clark-bronx-museum.html
0,278,How to Prepare Your Community for a Disaster,2018-02-15T07:45:03+0000,"With some careful planning, persuading strangers to help one another in case of an emergency will mitigate damage and build strong community bonds.",https://www.nytimes.com/2018/02/15/smarter-living/prepare-your-community-for-a-disaster.html
0,279,A Reporter’s Tale in Houston: When a Story Becomes Your Own Disaster,2017-08-27T17:40:50+0000,"When a quiet Houston-area neighborhood turns into a raging river, the lines between reporter and disaster victim completely blur.",https://www.nytimes.com/2017/08/27/us/hurricane-harvey-houston-a-reporter-disaster.html
0,280,‘Game of Thrones’: 7 Questions for the Season 7 Finale,2017-08-25T20:54:43+0000,"“Game of Thrones” included an enormous amount of movement and plot development inside those ravens this season, and there are plenty of things to resolve.",https://www.nytimes.com/2017/08/25/arts/television/game-of-thrones-season-7-finale-questions.html
0,281,James Corden Has a New Way to Think About Climate Change,2017-03-31T08:45:48+0000,A report that a federal office barred workers from using the term inspired the “Late Late Show” host to think of rosier alternatives — like “endless summer.”,https://www.nytimes.com/2017/03/31/arts/television/james-corden-climate-change-trump.html
0,282,How the Internet Kept Humming During 2 Hurricanes,2017-09-18T09:00:23+0000,"While millions lost electricity across Florida, and thousands of homes and businesses were flooded in Miami and Texas, the data centers powering the internet held firm.",https://www.nytimes.com/2017/09/18/us/harvey-irma-internet.html
0,283,"Better Weather Forecasts, and These Pretty Pictures, Too",2017-01-25T18:10:17+0000,"NOAA released the first batch of images taken by its GOES-16 satellite, which it says is like going from black and white to HDTV.",https://www.nytimes.com/2017/01/25/science/noaa-goes-16-satellite-photos.html
0,284,NASA Denies Trump’s Request to Send Astronauts Past the Moon on New Rocket,2017-05-12T23:30:26+0000,The agency announced that adding astronauts to the mission would have cost $600 million to $900 million and required significantly more work and time.,https://www.nytimes.com/2017/05/12/science/nasa-trump-request-moon-new-rocket.html
0,285,What’s on TV Thursday: Iggy Pop in ‘Gimme Danger’ and Jenny Slate’s Movie Picks,2017-03-23T05:00:13+0000,"March Madness driving you crazy? Ease your mind with Jim Jarmusch’s portrait of Iggy Pop, or with a quirky film lineup chosen by Ms. Slate.",https://www.nytimes.com/2017/03/23/arts/television/whats-on-tv-thursday-iggy-pop-in-gimme-danger-and-jenny-slates-movie-picks.html
0,286,"The Doctor, The Tornado, And The Kentucky Kid",2014-12-23T21:41:06Z,,https://www.nytimes.com/video/movies/100000003386050/the-doctor-the-tornado-and-the-kentucky-kid.html
0,287,Donald Trump’s Hurricane Season,2017-08-16T15:27:47+0000,We already know the dangers of big storms and shortchanged relief efforts.,https://www.nytimes.com/2017/08/16/opinion/donald-trumps-hurricane-season.html
0,288,Two Men and a Show,2016-11-15T20:46:04+0000,A new exhibition combines works by Willem de Kooning and Zao Wou-Ki.,https://www.nytimes.com/2016/11/15/t-magazine/art/willem-de-kooning-zao-wou-ki-two-men-show.html
0,289,Getting Married Where the Catering Is a Pretzel Vendor,2017-06-10T10:00:09+0000,"The photographer Daniel Arnold spent the month of May camped outside the New York City Clerk’s Office, documenting couples getting married in irreverent, wild, untraditional — and sometimes very traditional — ways.",https://www.nytimes.com/2017/06/10/style/weddings-new-york-city-clerks-office.html
0,290,"Solve a Puzzle in the Past, Save New York Present",2017-05-11T21:00:03+0000,"In “York,” Laura Ruby’s captivating new novel, a treasure hunt takes place in a present-day, steam-punky version of New York.",https://www.nytimes.com/2017/05/11/books/review/york-the-shadow-cipher-laura-ruby.html
0,291,What’s on TV Tuesday: ‘Fantastic Beasts’ and ‘The Americans’,2017-03-07T06:00:13+0000,"“Fantastic Beasts and Where to Find Them,” from the world of Harry Potter, is streaming. And FX’s “The Americans” returns for its penultimate season.",https://www.nytimes.com/2017/03/07/arts/television/whats-on-tv-tuesday-fantastic-beasts-and-the-americans.html
0,292,"For Many Farmers, Retirement Is a Source of Dread",2017-03-01T10:00:29+0000,"A survey of farmers in Iowa indicates that many do not have a formal retirement plan. The land, they say, is their 401(k).",https://www.nytimes.com/2017/03/01/business/retirement/for-many-farmers-retirement-is-a-source-of-dread.html
0,293,Review: ‘The Illinois Parables’ Soothes and Inflames Feelings About America,2016-11-16T19:22:39Z,"This hourlong essay film by Deborah Stratman juxtaposes pastoral images with a chronicle of violence, dispossession and disaster.",https://www.nytimes.com/2016/11/18/movies/the-illinois-parables-review.html
0,294,The $20 Billion Question for Guyana,2018-07-20T09:00:17+0000,This largely underdeveloped country on South America’s northern Atlantic coast is the unlikely setting for the world’s next big oil boom. But is it ready to handle the riches?,https://www.nytimes.com/2018/07/20/business/energy-environment/the-20-billion-question-for-guyana.html
0,295,"Robin O’Hara, Producer of Independent Films, Dies at 62",2017-03-25T14:41:45+0000,"Ms. O’Hara got her start as a producer in the mid-1980s at the Kitchen, the experimental performance space in Chelsea.",https://www.nytimes.com/2017/03/25/movies/robin-ohara-dead-independent-movie-producer.html
0,296,Manhattan U.S. Attorney Expected to Name Defense Lawyer to Lead Criminal Unit,2016-10-18T01:06:39+0000,"Lisa Zornberg, a partner at Lankler Siffert & Wohl and an ex-prosecutor, would replace Daniel L. Stein, who is stepping down to join Mayer Brown.",https://www.nytimes.com/2016/10/18/business/manhattan-us-attorney-expected-to-name-defense-lawyer-to-lead-criminal-unit.html
0,297,"Maria Strikes, and Puerto Rico Goes Dark",2017-09-21T00:41:39+0000,"Less than two weeks after Hurricane Irma, a new storm made a direct hit on the island, knocking out its power grid.",https://www.nytimes.com/2017/09/20/us/hurricane-maria-puerto-rico-power.html
0,298,‘The Only Thing to Do Is Wait.’ Readers React to the Texas Hurricane,2017-08-28T23:03:28+0000,"New York Times readers, many from across Texas and other areas that have been hit by hurricanes, said this storm evoked painful memories.",https://www.nytimes.com/2017/08/28/us/storm-readers-react.html
1,299,Deadly Tornado Hits Campground in Virginia Two Times,2014-07-25T00:00:00Z,"A severe storm left two people dead, injured 36 others and sent massive trees flying at a Chesapeake Bay campground filled with vacationing families.",https://www.nytimes.com/2014/07/25/us/tornado-virginia-campground.html
0,300,A New School of Pastry Chefs Got Its Start in Architecture,2018-01-23T16:41:39+0000,"Whether they dazzle or intrigue, these desserts always work in a carefully thought-out way that defies the flashy concoctions on Instagram.",https://www.nytimes.com/2018/01/23/dining/pastry-chefs-architecture.html
0,301,A Surprise Trip to Prison,2017-03-29T00:09:58+0000,The Times Reporter Campbell Robertson describes how he put together his article on an Alabama prison’s descent into violence.,https://www.nytimes.com/2017/03/28/insider/st-clair-alabama-prison-violence.html
0,302,Warriors Handily Defeat the Cavaliers in Game 2,2017-06-05T02:37:10+0000,Golden State took a two-games-to-none lead in the N.B.A. finals as Coach Steve Kerr returned to the team and Stephen Curry had the first playoff triple-double of his career.,https://www.nytimes.com/2017/06/04/sports/basketball/nba-finals-cleveland-cavaliers-golden-state-warriors.html
0,303,Alien Storm,2016-04-30T13:54:17Z,"An unusual green-tinted tornado barrels through a farm town, leaving 15 year-old Jack Lynch homeless and fatherless. Thirty years later the same tornadoes return, only this time in numbers! Now a certified weather fanatic, Jack enlists the help of...",https://www.nytimes.com/video/movies/100000004371884/alien-storm.html
0,304,The Great Arch of Chernobyl,2016-12-02T08:21:04+0000,"A huge steel arch has been moved over the radioactive wreckage of a Chernobyl reactor, a project in which many nations helped to raise funds.",https://www.nytimes.com/2016/12/02/opinion/the-great-arch-of-chernobyl.html
0,305,Iraqi Held After Borussia Dortmund Attack Is Suspected of ISIS Ties,2017-04-13T16:59:23+0000,"A spokeswoman for the federal prosecutor in Germany said there wasn’t enough evidence to link the man to the bombing of a soccer team’s bus, but that he should remain in detention.",https://www.nytimes.com/2017/04/13/world/europe/borussia-dortmund-bus-bomb.html
0,306,Teenagers in The Times: April 2018,2018-05-04T10:00:01+0000,Our roundup of the news stories and features about young people that have recently appeared across sections of NYTimes.com.,https://www.nytimes.com/2018/05/04/learning/lesson-plans/teenagers-in-the-times-april-2018.html
0,307,"Hurricane Harvey Strikes a Powerful Blow to Texas, and Lingers",2017-08-26T16:15:12+0000,"The first major hurricane to make landfall in the United States since 2005 caused flooding over a vast area, and officials were scrambling to assess the damage.",https://www.nytimes.com/2017/08/26/us/hurricane-harvey-strikes-a-powerful-blow-to-texas-and-lingers.html
0,308,"Hell or High Water, an Orchestra Celebrates the Erie Canal",2017-07-07T20:54:07+0000,"The Albany Symphony is playing along the canal to celebrate the bicentennial of the artificial waterway, which transformed New York.",https://www.nytimes.com/2017/07/07/arts/music/erie-canal-bicentennial-albany-symphony.html
0,309,Britain's Cameron says more Tornado jets to join Iraq mission,2014-10-02T21:13:03Z,"British Prime Minister David Cameron says two more RAF Tornado fighter jets will be deployed in campaign against IS in Iraq, as he visits Cyprus air base from where planes are deployed. Rough Cut (no reporter narration).",https://www.nytimes.com/video/multimedia/100000003155426/britains-cameron-says-more-tornado-jets-to-join-iraq-mission.html
0,310,David Foster Wallace’s Peaceful Prairie,2016-11-29T11:00:06+0000,"Famously earnest, the writer David Foster Wallace said he liked Midwestern people, and got more work done in the gusty open spaces of Central Illinois.",https://www.nytimes.com/2016/11/29/travel/central-illinois-prairies-david-foster-wallace-literary.html
0,311,"Silos, Sulfur and Stolen Identities: The Best of New Crime Fiction",2017-04-13T21:00:03+0000,"This week’s crime column features two familiar sleuths, V.I. Warshawski and Lincoln Rhyme, as well as a disgraced reporter and a Victorian detective.",https://www.nytimes.com/2017/04/13/books/review/fallout-sara-paretsky.html
0,312,A Summer Evening in Texas Isn’t Complete Without a Bat Show,2016-08-29T04:00:00+0000,"Every night, millions of bats emerge in the middle of the state, including more than 15 million from a sinkhole near San Antonio.",https://www.nytimes.com/2016/08/29/science/texas-bats-show.html
0,313,A Boy’s Life Is Lost to Sepsis. Thousands Are Saved in His Wake.,2017-04-14T01:26:16+0000,"In 2012, Rory Staunton, 12, died from septic shock. Five years later, a study shows that fewer people are dying from the condition.",https://www.nytimes.com/2017/04/13/nyregion/a-boys-life-lost-to-sepsis-but-thousands-saved-in-his-wake.html
0,314,What’s on TV Friday: ‘One Day at a Time’ and ‘Emerald City’,2017-01-06T06:00:36+0000,"“One Day at a Time” gets a reboot, and it just might be better than the original. And “The Wizard of Oz” is spun off into the decidedly adult “Emerald City.”",https://www.nytimes.com/2017/01/06/arts/television/whats-on-tv-friday-one-day-at-a-time-and-emerald-city.html
0,315,"Giant Arch, a Feat of Engineering, Now Covers Chernobyl Site in Ukraine",2016-11-29T17:11:31+0000,"The shelter, under construction since 2010, covers the deteriorating steel and concrete sarcophagus hastily built after the nuclear accident 30 years ago.",https://www.nytimes.com/2016/11/29/world/europe/chernobyl-disaster-cover.html
0,316,"Who Knew? For Red Carpet Trends, Look North",2017-09-13T16:11:24+0000,The Toronto International Film Festival has become the fashion pacesetter of the premiere season.,https://www.nytimes.com/2017/09/13/fashion/toronto-international-film-festival-red-carpet-trends.html
0,317,Donations Pour In to Band From Black College That Will Play at Inauguration,2017-01-13T23:10:22+0000,The Talladega College Marching Tornadoes have been under fire for agreeing to perform in the Trump inaugural parade.,https://www.nytimes.com/2017/01/13/us/black-college-trump-inauguration.html
0,318,Pence and Trump Bear Brunt of Late-Night Jokes about Michael Flynn,2017-02-15T10:00:20+0000,"The hosts paid lip service to Valentine’s Day, but they focused their sharpest jokes on the departure of the national security adviser.",https://www.nytimes.com/2017/02/15/arts/television/michael-flynn-valentines-colbert-conan.html
0,319,"The Most Dangerous Eight Seconds in Sports, on ‘Fearless’",2016-08-14T04:00:00+0000,"The Netflix documentary series, debuting Aug. 19, focuses on professional bull riding.",https://www.nytimes.com/2016/08/14/arts/television/the-most-dangerous-eight-seconds-in-sports-on-fearless.html
0,320,The ‘Click’ Moment: How the Weinstein Scandal Unleashed a Tsunami,2017-11-05T19:38:56+0000,"In 1991, women wore “I Believe Anita” buttons. Now they post #metoo. Social media, famous accusers and generational change add up to a profound shift.",https://www.nytimes.com/2017/11/05/us/sexual-harrasment-weinstein-trump.html
0,321,‘Shooter’ Was Delayed After Real-Life Violence. As Shows Increasingly Are.,2016-11-11T20:42:17+0000,"USA’s series, now making its debut, was postponed twice by gun killings in the news. How does a TV network make that decision? There’s no playbook.",https://www.nytimes.com/2016/11/13/arts/television/shooter-was-delayed-after-real-life-violence-as-shows-increasingly-are.html
1,322,Twin tornadoes touch down in Nebraska,2014-06-17T01:36:32+0000,"Dramatic video shows tornadoes touching down in a rural area of Wakefield, Nebraska. Rough Cut (no reporter narration).",https://www.nytimes.com/video/multimedia/100000002944775/twin-tornadoes-touch-down-in-nebraska.html
0,323,"In Houston, a Terrifying Real-Life Lesson for Disaster-Prone Cities",2017-09-05T19:59:06+0000,"For cities facing their own kinds of disasters —earthquakes, tornadoes, floods — Houston is providing a real-life, if terrifying, lesson.",https://www.nytimes.com/2017/09/05/us/houston-harvey-disaster-lessons.html
1,324,Twin Tornadoes Touch Down in Nebraska,2014-06-17T10:36:41Z,"Video captures rare twin tornadoes in Pilger, Neb., on Monday. At least two people died in the storm, and 16 were critically injured.",https://www.nytimes.com/video/us/100000002945378/twin-tornadoes-touch-down-in-nebraska.html
1,325,Deadly Tornadoes Sweep Across Northeast Nebraska,2014-06-17T03:34:01+0000,"The town of Pilger sustained serious damage, with the county sheriff estimating that 50 to 75 percent of it was heavily damaged or destroyed.",https://www.nytimes.com/2014/06/17/us/deadly-tornadoes-sweep-across-northeast-nebraska.html
0,326,Houston’s Hospitals Treat Storm Victims and Become Victims Themselves,2017-08-28T11:20:34+0000,"Houston’s world-renowned health care infrastructure found itself battered by Hurricane Harvey, testing whether officials had done enough to prepare.",https://www.nytimes.com/2017/08/28/us/hurricane-harvey-houston-hospitals-rescue.html
0,327,Big Little League,2017-06-24T01:14:50+0000,"Sure, there was a bat and a glove, but was it baseball? Then, one day, I looked up and realized that it actually was.",https://www.nytimes.com/2017/06/23/opinion/baseball-little-league.html
0,328,Performing Under Fire at Donald Trump’s Inauguration,2017-01-14T02:28:20+0000,Perhaps it should have been obvious that invitations to take part in the inauguration would become as polarizing as everything else around Mr. Trump.,https://www.nytimes.com/2017/01/13/opinion/performing-under-fire-at-donald-trumps-inauguration.html
0,329,Report Card Time: Inviting Students to Evaluate President Trump’s First Year in Office,2018-01-25T18:59:22+0000,"With a year of Mr. Trump’s tenure completed, students can grade the president on his performance so far.",https://www.nytimes.com/2018/01/25/learning/lesson-plans/report-card-time-evaluate-president-trumps-first-year-in-office.html
0,330,"Damp, Dark and Disarrayed, Florida Starts Coping With Irma’s Aftermath",2017-09-12T00:15:00+0000,"Widespread power losses and localized flooding caused by the hurricane threatened to bedevil the state for days, if not weeks, to come.",https://www.nytimes.com/2017/09/11/us/irma-jacksonville-naples.html
1,331,Storms Move Up the East Coast After a Deadly Assault on the South,2016-02-25T00:00:00Z,"At least seven people were killed as a storm system barreled across the South on Tuesday and lashed states along the East Coast on Wednesday, the authorities said, with four fatalities in Virginia.",https://www.nytimes.com/2016/02/25/us/dangerous-storm-moves-up-east-coast-after-hammering-gulf-states.html
0,332,"‘Aliens’ Asks: If the Universe Is So Vast, Where Is Everybody?",2017-05-24T22:48:36+0000,"In this eccentric collection of essays, edited by the theoretical physicist Jim Al-Khalili, scientists consider our search for extraterrestrial life.",https://www.nytimes.com/2017/05/24/books/review-aliens-search-for-extraterrestrial-life-edited-jim-al-khalili.html
0,333,Sharknado 3: Oh Hell No!,2016-04-21T19:10:24Z,"A monstrous tornado unleashes ravenous sharks from Washington, D.C. to Orlando, Florida.",https://www.nytimes.com/video/movies/100000004347678/sharknado-3-oh-hell-no.html
0,334,"50 Years Later, It Feels Familiar: How America Fractured in 1968",2018-01-15T14:48:59+0000,"It was a violent year. Liberals reeled, a war dragged on and protests raged. People got all their news from radio, TV and newspapers. But what if they’d had phones vibrating with modern news alerts?",https://www.nytimes.com/interactive/2018/01/15/us/1968-history.html
0,335,Twin Tornadoes Leave Behind a Devastated Nebraska Town,2014-06-17T15:43:44+0000,"While double tornadoes are not rare, the two that touched down around Pilger, Neb., were unusual in that both were large, meteorologists said.",https://www.nytimes.com/2014/06/18/us/double-tornado-batters-nebraska.html
0,336,Storm With ‘No Boundaries’ Took Aim at Rich and Poor Alike,2017-08-31T23:37:01+0000,"Many of the iconic images from Hurricane Katrina captured a divide of class and race. In Houston, Harvey battered poor and rich with similar ferocity.",https://www.nytimes.com/2017/08/31/us/hurricane-harvey-houston-homes-flooded.html
0,337,"Fear Is in the Forecast, Whatever the Weather",2014-04-26T00:00:00Z,Two new series on the Weather Channel observe humans up against the worst challenges nature can mete out.,https://www.nytimes.com/2014/04/26/arts/television/nature-is-a-threat-in-tornado-alley-and-will-to-live.html
0,338,"Harvey, Now a Tropical Storm, Carves a Path of Destruction Through Texas",2017-08-26T10:09:46+0000,"By midnight, two deaths were reported that appeared to be related to the storm. There were reports of power loss and heavy damage to buildings.",https://www.nytimes.com/2017/08/26/us/hurricane-harvey-texas.html
1,339,Deadly tornadoes hit US,2014-04-28T02:20:34Z,Several killed as deadly tornadoes rip through southern and central United States. Paul Chapman reports,https://www.nytimes.com/video/multimedia/100000002849155/deadly-tornadoes-hit-us.html
0,340,"José Andrés Fed Puerto Rico, and May Change How Aid Is Given",2017-10-30T16:55:17+0000,"The chef’s huge effort is just the latest led by cooks, who are showing a more agile, locally based way to feed people after a disaster.",https://www.nytimes.com/2017/10/30/dining/jose-andres-puerto-rico.html
0,341,The Passion of Southern Christians,2017-04-08T18:29:25+0000,The president my fellow believers elected is about to show them what betrayal really looks like.,https://www.nytimes.com/2017/04/08/opinion/the-passion-of-southern-christians.html
0,342,This Is the Way Paul Ryan’s Speakership Ends,2018-08-07T09:00:03+0000,The Republican leader is walking away. Don’t ask him about Trump anymore.,https://www.nytimes.com/2018/08/07/magazine/paul-ryan-speakership-end-trump.html
0,343,Chile Reaches Copa América Final With Shutout of Colombia,2016-06-23T00:00:00Z,"After storms forced a two-and-a-half-hour delay at halftime, Chile emerged victorious and will meet Argentina in the final on Sunday.",https://www.nytimes.com/2016/06/23/sports/soccer/chile-reaches-final-with-shutout-of-colombia.html
0,344,Dome it! Schools Can Affordably Survive Tornadoes,2014-04-29T09:00:10Z,"A domed alternative to conventional school building designs could save lives, money and energy in America’s tornado zones.",https://dotearth.blogs.nytimes.com/2014/04/29/dome-it-schools-can-affordably-survive-tornadoes/
0,345,Parts of Arkansas flattened after tornado,2014-04-28T18:10:34Z,"Aerials views showed flattened homes and piles of debris in Vilonia, Mayflower Arkansas after tornadoes hit the area.   Rough Cut (no reporter narration).",https://www.nytimes.com/video/multimedia/100000002850700/parts-of-arkansas-flattened-after-tornado.html
0,346,"Trump, Snapchat, Mosul: Your Wednesday Evening Briefing",2017-03-01T23:01:48+0000,Here’s what you need to know at the end of the day.,https://www.nytimes.com/2017/03/01/briefing/trump-snapchat-mosul.html
0,347,Searching for a Fixer-Upper,2017-02-02T16:27:03+0000,An interior designer wanted an apartment that she could reinvent as her own.,https://www.nytimes.com/2017/02/02/realestate/searching-for-a-fixer-upper.html
0,348,Storm Gains Strength as It Nears Florida,2017-09-09T09:00:54+0000,"Officials upgraded Irma to a Category 4 hurricane early Sunday, reporting maximum sustained winds of 130 miles per hour.",https://www.nytimes.com/2017/09/09/us/hurricane-irma-florida.html
0,349,Francine Prose on Finding Art on a Coney Island Scary Ride,2017-08-02T09:00:06+0000,"For the author, an amusement-park trip as a young girl led to a ride on the Spook-a-Rama and later to a prized Diane Arbus photo of the same ride.",https://www.nytimes.com/2017/08/02/travel/francine-prose-coney-island-diane-arbus-ride.html
1,350,"Twin tornadoes pummel U.S. state of Nebraska, killing one",2014-06-17T05:46:32+0000,"A swarm of tornadoes, some appearing two at a time, strike several farming communities in northeastern Nebraska, killing at least one person and injuring 16 others. Sarah Toms reports.",https://www.nytimes.com/video/multimedia/100000002944919/twin-tornadoes-pummel-us-state-of-nebraska-killing-one.html
0,351,"Trump, Tillerson, Astana: Your Monday Evening Briefing",2017-01-23T23:16:47+0000,Here’s what you need to know at the end of the day.,https://www.nytimes.com/2017/01/23/briefing/trump-tillerson-astana.html
0,352,"Robert Bentley, Alabama Governor, Resigns Amid Scandal",2017-04-10T09:00:27+0000,The governor had been facing impeachment proceedings over his relationship with a longtime aide and his attempts to cover it up.,https://www.nytimes.com/2017/04/10/us/robert-bentley-alabama-governor.html
0,353,"Bringing Back the Spirit of Early Martha Graham, Stark and Pure",2017-02-16T18:30:52+0000,"The Graham troupe’s season at the Joyce Theater includes a revival of one of her earliest works, “Primitive Mysteries” (1931).",https://www.nytimes.com/2017/02/16/arts/dance/martha-graham-dance-company-primitive-mysteries-joyce-theater.html
0,354,Winter TV: Where Flowers Now Bloom,2017-01-06T16:46:03+0000,"The coming months will be a boon for fans, with more than 40 scripted comedies and dramas and a similar number of reality shows.",https://www.nytimes.com/2017/01/06/arts/television/winter-tv-where-flowers-now-bloom.html
0,355,More Severe Weather After Deadly Tornado Outbreak,2014-04-29T11:31:13Z,More tornadoes were expected in the same parts of the South that were hit hard by a powerful storm system on Monday.,https://thelede.blogs.nytimes.com/2014/04/29/live-coverage-of-severe-weather-threat-on-weather-channel/
0,356,Harvey Brings Catastrophic Floods to Houston; at Least Five Reported Dead,2017-08-27T10:39:15+0000,Tropical Storm Harvey hovered over Texas and dumped torrential rains as emergency workers scrambled to rescue the injured and missing.,https://www.nytimes.com/2017/08/27/us/harvey-texas-storm.html
0,357,Heartache for those lost in tornado-hit Arkansas,2014-04-29T19:10:34Z,"Heavy-duty clean up operations begin in the tornado-ravaged town of Vilonia, Arkansas and residents ask others to ""keep all these people in their prayers."" Gavino Garay reports.",https://www.nytimes.com/video/multimedia/100000002853220/heartache-for-those-lost-in-tornado-hit-arkansas.html
0,358,Tornados and hail bear down on North Carolina,2014-04-26T06:50:34Z,Tornados and hail batter parts of North Carolina as severe spring weather hits the area. Sarah Toms reports.,https://www.nytimes.com/video/multimedia/100000002847596/tornados-and-hail-bear-down-on-north-carolina.html
0,359,"Lightning, Weather’s Byproduct, May Become One of Its Predictors",2017-01-09T15:39:14+0000,Two new space-based lightning sensors are set to join a growing global architecture of ground-based detection networks.,https://www.nytimes.com/2017/01/09/science/lightning-weather-prediction.html
0,360,"‘American Honey’: Open Highways, Free Spirits",2016-09-28T15:26:37+0000,"While shooting the director Andrea Arnold’s film, the cast and crew traveled together for nearly three months, from Oklahoma to North Dakota.",https://www.nytimes.com/2016/10/02/movies/american-honey-open-highways-free-spirits.html
0,361,Storms Cause Widespread Damage in U.S.,2016-02-25T11:07:16Z,"Rain, snow and tornadoes brought damage as large storms ravaged several areas in the eastern half of the United States on Wednesday.",https://www.nytimes.com/video/us/100000004232876/storms-cause-widespread-damage-in-us.html
0,362,Portugal Fire Survivors Recount Confusion Amid a Search for Escape,2017-06-19T22:51:20+0000,"After a forest fire killed at least 64 people over the weekend, our correspondent drove into the ravaged countryside, past burned-out cars and melted road signs.",https://www.nytimes.com/2017/06/19/world/europe/portugal-wildfires.html
0,363,"After Tornado, Obama Visit Puts Politics on Pause in Arkansas",2014-05-08T00:00:00Z,"President Obama’s visit drew support even from Senator Mark Pryor, who is running for re-election and has tried to distance himself from the new health care law, which is unpopular in his state.",https://www.nytimes.com/2014/05/08/us/politics/obama-arkansas.html
